Metric,Value
guardrail_effectiveness_content_safety_enabled,True
guardrail_effectiveness_eligibility_rate,0.493
guardrail_effectiveness_eligible_users,36
guardrail_effectiveness_ineligibility_reasons_insufficient_transactions,1
guardrail_effectiveness_ineligibility_reasons_no_consent,21
guardrail_effectiveness_ineligibility_reasons_no_signals,15
guardrail_effectiveness_ineligibility_reasons_under_age,0
guardrail_effectiveness_rate_limit_violations,0
guardrail_effectiveness_total_users_checked,73
guardrail_effectiveness_vulnerable_populations_low_income_under_30k,22
guardrail_effectiveness_vulnerable_populations_seniors_65_plus,0
guardrail_effectiveness_vulnerable_populations_young_adults_18_21,0
recommendation_quality_avg_recommendations_per_user,3.75
recommendation_quality_content_type_distribution_article,40
recommendation_quality_content_type_distribution_calculator,32
recommendation_quality_content_type_distribution_guide,24
recommendation_quality_content_type_distribution_video,24
recommendation_quality_coverage_rate,0.615
recommendation_quality_diversity_score,0.738
recommendation_quality_personalization_score,1.0
recommendation_quality_relevance_score,1.0
recommendation_quality_total_recommendations,120
system_performance_throughput_personas_per_day,2.03
system_performance_throughput_recommendations_per_day,4.0
system_performance_throughput_signals_per_day,1.4
system_performance_time_period_days,30
system_performance_total_personas_assigned,61
system_performance_total_recommendations_generated,120
system_performance_total_signals_detected,42
system_performance_unique_users_processed,36
timestamp,2025-11-04T15:45:13.885872
user_outcomes_approval_rate,0.992
user_outcomes_consent_rate,0.712
user_outcomes_pending_count,1
user_outcomes_persona_distribution_credit_optimizer,11
user_outcomes_persona_distribution_financial_newcomer,49
user_outcomes_persona_distribution_subscription_optimizer,1
user_outcomes_rejection_rate,0.0
user_outcomes_signal_detection_rate,0.493
user_outcomes_total_approved,119
user_outcomes_total_rejected,0
user_outcomes_total_users,73
user_outcomes_users_with_signals,36
